epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,248.722,0.92257,5.00359,0.61223,0.68603,1.25708,0.88986,0.68293,0.7231,0.38923,0.81181,0.5122,0.49499,0.18695,1.59294,6.11321,0.65012,1.55697,1.81638,0.0014654,0.0014654,0.0014654
29,255.866,0.8882,5.08246,0.60996,0.66473,1.19281,0.82006,0.82927,0.86099,0.51978,0.64603,0.57883,0.50726,0.22744,1.24401,5.31524,0.63008,1.28965,1.49598,0.0014456,0.0014456,0.0014456
30,263.159,0.8424,4.7401,0.6046,0.65148,1.17817,0.91292,0.80488,0.8906,0.48231,0.60893,0.53659,0.4711,0.21279,1.46614,5.07948,0.61752,1.42068,1.57186,0.0014258,0.0014258,0.0014258
31,271.072,0.92791,4.9437,0.59723,0.69917,1.21354,0.91354,0.78049,0.84624,0.5695,0.76874,0.58537,0.53336,0.18555,1.27489,5.04107,0.60893,1.14615,1.40879,0.001406,0.001406,0.001406
32,277.152,0.90062,5.02418,0.60191,0.65777,1.19263,0.90065,0.8846,0.94008,0.64262,0.67507,0.65875,0.54903,0.17779,1.08565,4.92755,0.61578,0.81167,1.25835,0.0013862,0.0013862,0.0013862
33,284.808,0.9052,4.66916,0.59454,0.66513,1.19644,0.92416,0.89173,0.94847,0.58647,0.74463,0.60976,0.55561,0.21968,1.33676,4.75114,0.62245,0.89456,1.44927,0.0013664,0.0013664,0.0013664
34,292.695,0.85238,4.62187,0.59049,0.62464,1.18094,0.93165,0.80488,0.91786,0.62862,0.81533,0.70732,0.71907,0.3343,1.23738,4.5922,0.62319,0.86954,1.38976,0.0013466,0.0013466,0.0013466
35,300.151,0.86271,4.74927,0.59497,0.62454,1.18671,0.91186,0.82927,0.91551,0.68596,0.89319,0.70732,0.70982,0.31684,1.14419,4.9653,0.61851,1.0018,1.33688,0.0013268,0.0013268,0.0013268
36,307.171,0.85902,4.51739,0.59015,0.62103,1.16969,0.99079,0.80488,0.91816,0.67848,0.94946,0.7561,0.78757,0.43032,1.21821,4.22063,0.6182,1.03368,1.32824,0.001307,0.001307,0.001307
37,314.536,0.85436,4.50283,0.58789,0.6459,1.2216,1,0.86384,0.96267,0.6628,0.85885,0.70732,0.76148,0.33034,1.29404,4.35271,0.60961,0.72062,1.35036,0.0012872,0.0012872,0.0012872
38,321.927,0.80631,4.7877,0.57875,0.58278,1.16557,0.88439,0.92683,0.96597,0.64336,0.73657,0.75026,0.66956,0.32477,1.30468,4.34748,0.60728,0.75871,1.40685,0.0012674,0.0012674,0.0012674
39,329.743,0.85536,4.58267,0.58604,0.59635,1.16539,0.9382,0.85366,0.94035,0.66287,0.81954,0.77545,0.75624,0.33345,1.16438,4.25728,0.60285,0.91788,1.34594,0.0012476,0.0012476,0.0012476
40,337.333,0.84377,4.67406,0.58688,0.61663,1.18584,0.91439,0.87805,0.88232,0.64005,0.81973,0.78049,0.70652,0.32181,1.12319,4.10317,0.59898,0.8807,1.34615,0.0012278,0.0012278,0.0012278
41,345.269,0.83893,4.4903,0.58311,0.63984,1.17107,0.91279,0.90244,0.94023,0.64994,0.79111,0.78049,0.76092,0.32988,1.23388,4.31507,0.58954,0.81261,1.4636,0.001208,0.001208,0.001208
42,352.812,0.86582,4.49609,0.5786,0.65846,1.18204,0.94806,0.89063,0.95971,0.68444,0.84096,0.78049,0.77673,0.39183,1.15351,4.27066,0.59074,0.69749,1.37125,0.0011882,0.0011882,0.0011882
43,360.234,0.79581,4.44063,0.58129,0.62312,1.16555,0.96561,0.90244,0.96755,0.71857,0.8775,0.69905,0.733,0.31918,1.03022,4.45186,0.5885,0.69359,1.28429,0.0011684,0.0011684,0.0011684
44,367.679,0.81066,4.35592,0.57986,0.60161,1.19002,0.94338,0.90244,0.95212,0.67006,0.83425,0.73171,0.74678,0.36784,1.18459,4.15657,0.60383,0.73134,1.28064,0.0011486,0.0011486,0.0011486
45,375.295,0.81604,4.04641,0.57018,0.59406,1.19804,0.97189,0.92683,0.94872,0.72247,0.8639,0.80488,0.79289,0.38276,1.00861,4.11194,0.59921,0.70714,1.20008,0.0011288,0.0011288,0.0011288
46,382.998,0.78674,4.13704,0.57731,0.60611,1.14203,0.90399,0.92683,0.95417,0.68625,0.76896,0.70732,0.6309,0.2711,1.05961,4.29718,0.59839,0.69587,1.23051,0.001109,0.001109,0.001109
47,391.041,0.72975,4.00882,0.57943,0.52819,1.09751,0.91284,0.90244,0.95412,0.7061,0.65163,0.63415,0.54973,0.24679,1.00811,4.35194,0.60389,0.74807,1.19531,0.0010892,0.0010892,0.0010892
48,399.252,0.71848,4.34503,0.59177,0.53606,1.07231,0.90847,0.96846,0.97392,0.67518,0.79198,0.7561,0.71445,0.28673,1.05357,4.2728,0.59872,0.70391,1.28452,0.0010694,0.0010694,0.0010694
49,406.987,0.75231,4.17633,0.57553,0.56505,1.13473,0.84916,0.97561,0.9758,0.64119,0.8618,0.65854,0.72092,0.21747,1.18246,4.31182,0.59494,0.69771,1.31555,0.0010496,0.0010496,0.0010496
50,414.494,0.80233,4.34197,0.561,0.59386,1.16441,0.93035,0.92683,0.978,0.69655,0.79834,0.70732,0.69617,0.30852,1.1505,4.1994,0.59467,0.65122,1.23999,0.0010298,0.0010298,0.0010298
51,422.007,0.69457,3.91997,0.57775,0.5134,1.09656,0.9741,0.91751,0.97688,0.72397,0.86571,0.73171,0.75129,0.42103,1.20653,4.02715,0.59433,0.72389,1.2477,0.00101,0.00101,0.00101
52,429.418,0.76848,3.82425,0.56623,0.58612,1.12303,0.9419,0.95122,0.97814,0.71991,0.83712,0.75222,0.7699,0.42551,1.19099,3.74083,0.57763,0.77856,1.26276,0.0009902,0.0009902,0.0009902
53,436.597,0.78526,4.17516,0.56758,0.58632,1.16034,0.94944,0.95122,0.97585,0.70486,0.80945,0.7561,0.73269,0.42325,1.17123,3.78644,0.58034,0.69176,1.31152,0.0009704,0.0009704,0.0009704
54,443.921,0.75359,3.90151,0.57832,0.53598,1.10828,0.94476,0.95122,0.9831,0.73925,0.87863,0.78049,0.78943,0.41927,1.08667,3.72719,0.58505,0.64475,1.23996,0.0009506,0.0009506,0.0009506
55,451.386,0.73053,3.98847,0.56869,0.5724,1.12032,0.95701,0.92683,0.98216,0.72775,0.93699,0.80488,0.83202,0.42255,1.156,3.72736,0.57876,0.6715,1.27741,0.0009308,0.0009308,0.0009308
56,459.569,0.75745,4.06,0.55409,0.58263,1.15839,0.929,0.95747,0.97977,0.69126,0.90856,0.80488,0.81615,0.44154,1.13473,3.87356,0.57726,0.71021,1.33786,0.000911,0.000911,0.000911
57,466.86,0.79418,3.82898,0.56283,0.57998,1.14089,0.94949,0.97561,0.97621,0.72108,0.79387,0.7561,0.74552,0.38384,1.10451,4.1718,0.57924,0.71645,1.30966,0.0008912,0.0008912,0.0008912
58,475.262,0.73477,4.01209,0.56203,0.54832,1.1341,0.94983,0.92362,0.97384,0.72997,0.87223,0.7561,0.79887,0.3734,0.99088,4.15705,0.57507,0.72665,1.23167,0.0008714,0.0008714,0.0008714
59,483.33,0.67395,3.80697,0.55775,0.5179,1.09598,0.92847,0.9498,0.97591,0.7261,0.84097,0.80488,0.77525,0.37522,1.094,4.1306,0.57075,0.72579,1.30762,0.0008516,0.0008516,0.0008516
60,490.915,0.6713,3.86628,0.56795,0.51042,1.07369,0.96766,0.95122,0.98375,0.72914,0.88589,0.80488,0.78275,0.3823,1.06275,3.89949,0.58598,0.66564,1.2859,0.0008318,0.0008318,0.0008318
61,498.272,0.71266,3.86956,0.57227,0.51741,1.10874,0.96757,0.92683,0.98501,0.74931,0.86492,0.7561,0.77829,0.41989,0.97901,3.93499,0.59143,0.64134,1.24509,0.000812,0.000812,0.000812
