epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4288,1.32302,10.1024,0.71008,1.80928,1.57218,0,0,0,0,0,0,0,0,0,0,0,6.6817,0,0.00016,0.00016,0.00016
2,82.3323,1.09181,9.53924,0.6986,1.15254,1.35111,0,0,0,0,0,0,0,0,0,0,0,4.47356,0,0.000336634,0.000336634,0.000336634
3,119.733,0.97602,9.10996,0.69185,0.85684,1.29738,0,0,0,0,0,0,0,0,0,0,0,1.99248,0,0.000509704,0.000509704,0.000509704
4,157.943,0.98006,8.52319,0.68985,0.79935,1.25939,0,0,0,0,0,0,0,0,0,0,0,0.06879,0,0.00067921,0.00067921,0.00067921
5,195.091,1.06296,8.3836,0.6804,0.84252,1.36007,0,0,0,0,0,0,0,0,0,0,0,0.23832,0,0.000845152,0.000845152,0.000845152
6,232.764,1.01203,8.08185,0.67618,0.87031,1.31667,0,0,0,0,0,0,0,0,0,0,0,1.62504,0,0.00100753,0.00100753,0.00100753
7,270.717,1.11227,7.92653,0.67609,0.91743,1.40118,0,0,0,0,0,0,0,0,0,0,0,1.17812,0,0.00116634,0.00116634,0.00116634
8,308.6,1.08688,7.64652,0.66686,0.83583,1.33661,0,0,0,0,0,0,0,0,0,0,0,6.61368,0,0.00132159,0.00132159,0.00132159
9,345.668,1.07174,7.37892,0.65499,0.85345,1.31017,0,0,0,0,0,0,0,0,0,0,0,6.05728,0,0.00147328,0.00147328,0.00147328
10,383.337,1.07337,7.46103,0.65436,0.89762,1.36486,0,0,0,0,0,0,0,0,0,0,0,2.06008,0,0.0016214,0.0016214,0.0016214
11,419.868,1.02168,7.00477,0.65141,0.85929,1.33672,0,0,0,0,0,0,0,0,0,0,0,1.50266,0,0.00176596,0.00176596,0.00176596
12,467.234,1.05498,6.91448,0.65512,0.86151,1.32077,0,0,0,0,0,0,0,0,0,0,0,1.66234,0,0.0017822,0.0017822,0.0017822
13,508.804,1.07601,6.70625,0.66367,0.88921,1.30936,0,0,0,0,0,0,0,0,0,0,0,2.49834,0,0.0017624,0.0017624,0.0017624
14,545.339,1.02777,6.29773,0.65168,0.8327,1.30174,0,0,0,0,0,0,0,0,0,0,0,3.12761,0,0.0017426,0.0017426,0.0017426
15,582.461,1.05631,6.1131,0.64911,0.84321,1.2943,0,0,0,0,0,0,0,0,0,0,0,6.18005,0,0.0017228,0.0017228,0.0017228
